consumption,interval_start,interval_end,date,time
0.034,2022-05-24T11:30:00Z,2022-05-24T12:00:00Z,2022-05-24,11:30:00
0.087,2022-05-24T12:00:00Z,2022-05-24T12:30:00Z,2022-05-24,12:00:00
0.04,2022-05-24T12:30:00Z,2022-05-24T13:00:00Z,2022-05-24,12:30:00
0.031,2022-05-24T13:00:00Z,2022-05-24T13:30:00Z,2022-05-24,13:00:00
0.047,2022-05-24T13:30:00Z,2022-05-24T14:00:00Z,2022-05-24,13:30:00
0.031,2022-05-24T14:00:00Z,2022-05-24T14:30:00Z,2022-05-24,14:00:00
0.031,2022-05-24T14:30:00Z,2022-05-24T15:00:00Z,2022-05-24,14:30:00
0.032,2022-05-24T15:00:00Z,2022-05-24T15:30:00Z,2022-05-24,15:00:00
0.26,2022-05-24T15:30:00Z,2022-05-24T16:00:00Z,2022-05-24,15:30:00
0.299,2022-05-24T16:00:00Z,2022-05-24T16:30:00Z,2022-05-24,16:00:00
0.183,2022-05-24T16:30:00Z,2022-05-24T17:00:00Z,2022-05-24,16:30:00
0.187,2022-05-24T17:00:00Z,2022-05-24T17:30:00Z,2022-05-24,17:00:00
0.045,2022-05-24T17:30:00Z,2022-05-24T18:00:00Z,2022-05-24,17:30:00
0.048,2022-05-24T18:00:00Z,2022-05-24T18:30:00Z,2022-05-24,18:00:00
0.109,2022-05-24T18:30:00Z,2022-05-24T19:00:00Z,2022-05-24,18:30:00
0.055,2022-05-24T19:00:00Z,2022-05-24T19:30:00Z,2022-05-24,19:00:00
0.068,2022-05-24T19:30:00Z,2022-05-24T20:00:00Z,2022-05-24,19:30:00
0.046,2022-05-24T20:00:00Z,2022-05-24T20:30:00Z,2022-05-24,20:00:00
0.063,2022-05-24T20:30:00Z,2022-05-24T21:00:00Z,2022-05-24,20:30:00
0.039,2022-05-24T21:00:00Z,2022-05-24T21:30:00Z,2022-05-24,21:00:00
0.05,2022-05-24T21:30:00Z,2022-05-24T22:00:00Z,2022-05-24,21:30:00
1.05,2022-05-24T22:00:00Z,2022-05-24T22:30:00Z,2022-05-24,22:00:00
1.57,2022-05-24T22:30:00Z,2022-05-24T23:00:00Z,2022-05-24,22:30:00
0.875,2022-05-24T23:00:00Z,2022-05-24T23:30:00Z,2022-05-24,23:00:00
0.037,2022-05-24T23:30:00Z,2022-05-25T00:00:00Z,2022-05-24,23:30:00
0.014,2022-05-25T00:00:00Z,2022-05-25T00:30:00Z,2022-05-25,00:00:00
0.304,2022-05-25T00:30:00Z,2022-05-25T01:00:00Z,2022-05-25,00:30:00
0.017,2022-05-25T01:00:00Z,2022-05-25T01:30:00Z,2022-05-25,01:00:00
0.031,2022-05-25T01:30:00Z,2022-05-25T02:00:00Z,2022-05-25,01:30:00
0.021,2022-05-25T02:00:00Z,2022-05-25T02:30:00Z,2022-05-25,02:00:00
0.025,2022-05-25T02:30:00Z,2022-05-25T03:00:00Z,2022-05-25,02:30:00
0.026,2022-05-25T03:00:00Z,2022-05-25T03:30:00Z,2022-05-25,03:00:00
0.018,2022-05-25T03:30:00Z,2022-05-25T04:00:00Z,2022-05-25,03:30:00
0.033,2022-05-25T04:00:00Z,2022-05-25T04:30:00Z,2022-05-25,04:00:00
